year,life_exp
1975,72.60487805
1976,72.85609756
1977,73.25609756
1978,73.35609756
1979,73.80487805
1980,73.6097561
1981,74.0097561
1982,74.36097561
1983,74.46341463
1984,74.56341463
1985,74.56341463
1986,74.61463415
1987,74.76585366
1988,74.76585366
1989,75.01707317
1990,75.21463415
1991,75.36585366
1992,75.61707317
1993,75.4195122
1994,75.6195122
1995,75.62195122
1996,76.02682927
1997,76.42926829
1998,76.5804878
1999,76.58292683
2000,76.63658537
2001,76.83658537
2002,76.93658537
2003,77.03658537
2004,77.48780488
2005,77.48780488
2006,77.68780488
2007,77.98780488
2008,78.03902439
2009,78.3902439
2010,78.54146341
2011,78.64146341
2012,78.74146341
2013,78.74146341
2014,78.84146341
2015,78.6902439
2016,78.53902439
